DATE_TIME,HIGH,LOW,OPEN,CLOSE
2018.07.26 16:45:00,1.52495,1.52378,1.52391,1.5241
2018.07.26 17:00:00,1.52444,1.52361,1.5241,1.5241
2018.07.26 17:15:00,1.52568,1.5232,1.5241,1.52554
2018.07.26 17:30:00,1.52585,1.52387,1.52553,1.52448
2018.07.26 17:45:00,1.52537,1.5235,1.52448,1.525
2018.07.26 18:00:00,1.5253,1.52382,1.525,1.5239
2018.07.26 18:15:00,1.525,1.52356,1.5239,1.5246
2018.07.26 18:30:00,1.52476,1.52385,1.52459,1.52413
2018.07.26 18:45:00,1.52424,1.52324,1.52413,1.52418
2018.07.26 19:00:00,1.5245,1.5235,1.52418,1.52428
2018.07.26 19:15:00,1.52455,1.5238,1.52428,1.52396
2018.07.26 19:30:00,1.52414,1.52362,1.52396,1.5238
2018.07.26 19:45:00,1.52424,1.52327,1.5238,1.5233
2018.07.26 20:00:00,1.52375,1.52281,1.52333,1.5237
2018.07.26 20:15:00,1.52404,1.52327,1.5237,1.52402
2018.07.26 20:30:00,1.5241,1.52241,1.52402,1.52287
2018.07.26 20:45:00,1.52296,1.52228,1.52285,1.52233
2018.07.26 21:00:00,1.52273,1.52211,1.52233,1.52221
2018.07.26 21:15:00,1.5224,1.52178,1.52221,1.52211
2018.07.26 21:30:00,1.52231,1.5216,1.52211,1.52176
2018.07.26 21:45:00,1.5219,1.52128,1.52176,1.52174
2018.07.26 22:00:00,1.5224,1.52165,1.52177,1.5222
2018.07.26 22:15:00,1.52236,1.52151,1.5222,1.52162
2018.07.26 22:30:00,1.52205,1.52155,1.52162,1.52203
2018.07.26 22:45:00,1.52234,1.52174,1.52203,1.52187
2018.07.26 23:00:00,1.52253,1.5218,1.52187,1.52248
2018.07.26 23:15:00,1.52248,1.52199,1.5224,1.52201
2018.07.26 23:30:00,1.52244,1.52192,1.52201,1.52233
2018.07.26 23:45:00,1.52244,1.5218,1.52233,1.52215
2018.07.27 00:00:00,1.5224,1.52136,1.52184,1.52194
2018.07.27 00:15:00,1.52235,1.52168,1.52185,1.52226
2018.07.27 00:30:00,1.5224,1.52171,1.52226,1.5221
2018.07.27 00:45:00,1.5226,1.52172,1.5221,1.52174
2018.07.27 01:00:00,1.52215,1.52162,1.52175,1.52173
2018.07.27 01:15:00,1.52203,1.52167,1.52173,1.52168
2018.07.27 01:30:00,1.52184,1.52147,1.52166,1.52163
2018.07.27 01:45:00,1.52196,1.52161,1.52161,1.52181
2018.07.27 02:00:00,1.5219,1.52139,1.52175,1.52152
2018.07.27 02:15:00,1.5217,1.5214,1.52153,1.5216
2018.07.27 02:30:00,1.52174,1.52142,1.5216,1.52167
2018.07.27 02:45:00,1.5218,1.52144,1.52165,1.52169
2018.07.27 03:00:00,1.52181,1.52135,1.52169,1.52165
2018.07.27 03:15:00,1.52172,1.52132,1.52165,1.52144
2018.07.27 03:30:00,1.52182,1.5214,1.52144,1.52162
2018.07.27 03:45:00,1.52196,1.52135,1.52162,1.52135
2018.07.27 04:00:00,1.52182,1.52133,1.52135,1.52162
2018.07.27 04:15:00,1.52179,1.5214,1.52162,1.52155
2018.07.27 04:30:00,1.52173,1.52124,1.52155,1.52133
2018.07.27 04:45:00,1.52153,1.52114,1.52133,1.52152
2018.07.27 05:00:00,1.5218,1.5214,1.52152,1.5217
2018.07.27 05:15:00,1.52187,1.52146,1.5217,1.52162
2018.07.27 05:30:00,1.52173,1.52142,1.52162,1.52159
2018.07.27 05:45:00,1.52211,1.52148,1.5216,1.52196
2018.07.27 06:00:00,1.52198,1.5216,1.52196,1.52165
2018.07.27 06:15:00,1.5219,1.52157,1.52165,1.52161
2018.07.27 06:30:00,1.52195,1.5214,1.52161,1.52141
2018.07.27 06:45:00,1.52152,1.52124,1.52141,1.52143
2018.07.27 07:00:00,1.5216,1.52122,1.52143,1.52155
2018.07.27 07:15:00,1.5218,1.52143,1.52155,1.52177
2018.07.27 07:30:00,1.52178,1.52135,1.52178,1.52152
2018.07.27 07:45:00,1.52175,1.52135,1.52153,1.52149
2018.07.27 08:00:00,1.52149,1.52106,1.52149,1.52134
2018.07.27 08:15:00,1.52147,1.52081,1.52134,1.52098
2018.07.27 08:30:00,1.52116,1.52068,1.52098,1.52104
2018.07.27 08:45:00,1.52136,1.5208,1.52102,1.52092
2018.07.27 09:00:00,1.52124,1.52061,1.52092,1.52083
2018.07.27 09:15:00,1.5214,1.5206,1.52083,1.5208
2018.07.27 09:30:00,1.5217,1.5206,1.52076,1.5217
2018.07.27 09:45:00,1.52182,1.52108,1.52164,1.52115
2018.07.27 10:00:00,1.5214,1.5206,1.52115,1.5212
2018.07.27 10:15:00,1.52172,1.52077,1.5212,1.52152
2018.07.27 10:30:00,1.52173,1.52111,1.52152,1.52132
2018.07.27 10:45:00,1.52136,1.52062,1.52132,1.5209
2018.07.27 11:00:00,1.52096,1.52022,1.52087,1.5206
2018.07.27 11:15:00,1.5208,1.51954,1.5206,1.51968
2018.07.27 11:30:00,1.5204,1.5196,1.51966,1.5197
2018.07.27 11:45:00,1.51984,1.51924,1.5197,1.5193
2018.07.27 12:00:00,1.51972,1.51903,1.5193,1.51947
2018.07.27 12:15:00,1.51999,1.5193,1.51947,1.5198
2018.07.27 12:30:00,1.52028,1.51944,1.51982,1.51955
2018.07.27 12:45:00,1.52,1.51937,1.51955,1.51984
2018.07.27 13:00:00,1.52026,1.51917,1.51982,1.5201
2018.07.27 13:15:00,1.52028,1.51902,1.5201,1.5191
2018.07.27 13:30:00,1.51947,1.51895,1.5191,1.51933
2018.07.27 13:45:00,1.51958,1.5187,1.51933,1.51875
2018.07.27 14:00:00,1.5195,1.51845,1.51875,1.51931
2018.07.27 14:15:00,1.5193,1.51867,1.5193,1.5193
2018.07.27 14:30:00,1.52008,1.51915,1.5193,1.51978
2018.07.27 14:45:00,1.52019,1.5196,1.51978,1.51987
2018.07.27 15:00:00,1.52033,1.5187,1.51984,1.51902
2018.07.27 15:15:00,1.51933,1.51816,1.51902,1.51837
2018.07.27 15:30:00,1.51994,1.5171,1.51837,1.51988
2018.07.27 15:45:00,1.52051,1.5192,1.51988,1.5202
2018.07.27 16:00:00,1.5217,1.5201,1.5202,1.52142
2018.07.27 16:15:00,1.52271,1.52119,1.52142,1.52263
2018.07.27 16:30:00,1.5234,1.52172,1.52263,1.52295
2018.07.27 16:45:00,1.5235,1.5222,1.52295,1.52256
2018.07.27 17:00:00,1.52293,1.52165,1.52256,1.52226
2018.07.27 17:15:00,1.52302,1.52143,1.5223,1.52287
2018.07.27 17:30:00,1.52324,1.52152,1.52287,1.5221
2018.07.27 17:45:00,1.5222,1.52124,1.5221,1.5219
2018.07.27 18:00:00,1.52235,1.5213,1.5219,1.52148
2018.07.27 18:15:00,1.5218,1.52106,1.52148,1.5214
2018.07.27 18:30:00,1.52201,1.521,1.52136,1.52176
2018.07.27 18:45:00,1.52254,1.52168,1.52177,1.5224
2018.07.27 19:00:00,1.52244,1.5216,1.5224,1.52215
2018.07.27 19:15:00,1.52215,1.52153,1.52215,1.522
2018.07.27 19:30:00,1.5224,1.52163,1.522,1.52217
2018.07.27 19:45:00,1.5233,1.5221,1.52222,1.52321
2018.07.27 20:00:00,1.52387,1.52251,1.52321,1.52261
2018.07.27 20:15:00,1.52288,1.52212,1.52263,1.52213
2018.07.27 20:30:00,1.52296,1.52213,1.52214,1.52255
2018.07.27 20:45:00,1.52257,1.52197,1.52255,1.52229
2018.07.27 21:00:00,1.5227,1.52204,1.52229,1.5226
2018.07.27 21:15:00,1.52284,1.52213,1.5226,1.52235
2018.07.27 21:30:00,1.52258,1.5219,1.52234,1.5223
2018.07.27 21:45:00,1.52336,1.5221,1.5223,1.52305
2018.07.27 22:00:00,1.52329,1.52277,1.52297,1.52296
2018.07.27 22:15:00,1.52353,1.52285,1.52296,1.52347
